fast_period,slow_period,total_return,cagr,max_drawdown,ann_vol,sharpe,sortino,calmar,n_entries,n_exits,n_flips,n_round_trips,avg_hold_bars,median_hold_bars,turnover,round_trip_bps,trend_period,lag
35,70,1.5674413966599268,0.058854582743429695,-0.24103296258008988,0.1322314080888578,0.4985480002613792,0.4563813319040248,0.2441764898602764,3239,3238,209,3238,63.24482865081816,28.0,0.017285943857661096,2.0,200,1
29,95,1.2869956136051948,0.051452217812388845,-0.21085577877399375,0.13360990865944694,0.44226660221510333,0.4102494629401747,0.24401616171752172,3240,3239,178,3239,64.8216049382716,27.0,0.01713552230124925,2.0,200,1
31,75,1.5640832221235748,0.05877053254030584,-0.2409021382813329,0.13266757509758464,0.49674530562882924,0.4566580971497498,0.2439601946233944,3294,3293,221,3293,62.689435336976324,28.0,0.017621885333647547,2.0,200,1
31,71,1.6462384629886735,0.06079768670174812,-0.24927530429195155,0.13305875808069337,0.510050989079857,0.46743370273702367,0.24389775342743858,3335,3335,214,3335,61.53613193403298,27.0,0.017794870123521166,2.0,200,1
36,77,1.5290341526594413,0.05788708039488033,-0.23749636322876544,0.13113636986954952,0.49464126613062,0.452240619406529,0.24373880765121997,3120,3119,170,3119,65.45032051282051,29.0,0.016493723660558717,2.0,200,1
30,97,1.2893701821515573,0.051518398306027,-0.21168204621561337,0.1334676335420011,0.4430683752713629,0.41138069674154526,0.24337632419497596,3217,3216,172,3216,65.49456014920733,27.0,0.0169901147967178,2.0,200,1
31,90,1.3238844498533937,0.052473118422832865,-0.21572410333156855,0.1317901070218398,0.4539048875374501,0.4194009015885252,0.2432417964078012,3186,3185,159,3185,65.08694287507846,27.0,0.01676949651398043,2.0,200,1
36,74,1.4681486333561615,0.05632468318118633,-0.23180417802476583,0.13166064120553964,0.4819672213584394,0.44190578474079045,0.24298389986382657,3184,3183,209,3183,64.42933417085428,28.0,0.01701017100423938,2.0,200,1
31,76,1.5495178128048983,0.058404780613157126,-0.24063588363758104,0.13269589784079416,0.4940636626678453,0.4542863737917752,0.24271018823244125,3274,3273,223,3273,63.01099572388516,28.0,0.01753163239980044,2.0,200,1
40,63,1.5628707162759463,0.05874015988054104,-0.24253456271113993,0.13171938629850508,0.49915245043402967,0.4539779595710673,0.2421929444773647,3187,3186,189,3186,63.455914653278946,29.0,0.016924932122272668,2.0,200,1
36,69,1.5178586149270528,0.05760296888703298,-0.2381712563125853,0.13188894619090508,0.4905321359196211,0.4478407750316482,0.24185525062450267,3217,3216,201,3216,63.32701274479329,28.0,0.01713552230124925,2.0,200,1
33,85,1.2909258546187323,0.051561720778111164,-0.21347359458550552,0.13166931997449133,0.4476223702808749,0.4116699956772687,0.24153676185678524,3177,3176,166,3176,64.91312559017942,27.0,0.01675946841021964,2.0,200,1
30,96,1.2499236707947543,0.050410545647407545,-0.20909867891657663,0.13335586464599142,0.4354233290619027,0.40368852388382304,0.2410849552402943,3223,3222,168,3222,65.18367980142725,27.0,0.01700014290047859,2.0,200,1
36,60,1.2969220816698321,0.05172844598743631,-0.21459293848680183,0.13171633998679416,0.44872048152009975,0.4054796471603656,0.2410538126380043,3324,3324,202,3324,60.7572202166065,28.0,0.017679546930272086,2.0,200,1
37,69,1.4142267941188202,0.05491045169080011,-0.22791935821432263,0.13146672040804894,0.47229482906439735,0.4301637496613503,0.24092052610627918,3188,3187,188,3187,63.679109159347554,28.0,0.016924932122272668,2.0,200,1
32,92,1.3243142490803446,0.05248492318302178,-0.21788489506903475,0.13267814670034703,0.45183579374595906,0.41824386179921946,0.24088371599321942,3170,3169,176,3169,65.8211356466877,28.0,0.016774510565860826,2.0,200,1
32,72,1.5950641857358487,0.0595420486711562,-0.2473871308253044,0.13295086022699654,0.5014483373898939,0.4602544606708514,0.2406836947116808,3311,3310,210,3310,62.143763213530654,28.0,0.017651969644929915,2.0,200,1
37,70,1.4655335786528307,0.05625676971635274,-0.23424787672298752,0.13155703525864582,0.48175510630195556,0.4391147447587124,0.24015914467766902,3164,3163,184,3163,64.23672566371681,29.0,0.016784538669621613,2.0,200,1
36,70,1.4729471085914252,0.05644912487333542,-0.23513260027490857,0.13181016266302384,0.4824647325001991,0.4406064958879252,0.2400735789394458,3204,3203,194,3203,63.62390761548065,28.0,0.017035241263641355,2.0,200,1
